Ticker,Name,Year,Sector,Market Cap (B HKD),Revenue (B HKD),EPS (HKD),First_Close,Last_Close,Close_Difference,Dividends,Growth (%),ROA (%),PE_Ratio
0700.HK,TENCENT,2022,Communication Services,4625.990680576,610.0072,21.732700000000005,406.25024,309.58539,-96.66485,1.6,-23.4,19.62,14.245141652900926
1398.HK,ICBC,2022,Financial Services,2588.818538496,958.4718,1.067,3.39339,3.33168,-0.0617100000000001,0.343218,8.3,15.31,3.122474226804124
9988.HK,BABA-W,2022,Consumer Cyclical,2354.620137472,938.3682,3.1570000000000005,114.61167,85.95876,-28.65291000000001,0.0,-25.0,8.32,27.22798859676908
1288.HK,ABC,2022,Financial Services,2119.621541888,764.0446000000002,0.759,2.05312,2.2221,0.1689800000000003,0.242033,20.02,15.86,2.9276679841897235
0941.HK,CHINA MOBILE,2022,Communication Services,1880.59025408,1030.9849,6.468,37.48597,45.07888,7.592909999999996,4.630000000000001,32.61,20.75,6.9695238095238095
0939.HK,CCB,2022,Financial Services,1759.43778304,860.8226000000001,1.408,4.12059,4.0037,-0.1168899999999997,0.42595,7.5,-11.82,2.843536931818182
3988.HK,BANK OF CHINA,2022,Financial Services,1681.788370944,643.1942,0.792,2.08308,2.28027,0.1971899999999999,0.258911,21.9,22.2,2.8791287878787877
0005.HK,HSBC HOLDINGS,2022,Financial Services,1605.099978752,419.0082,5.85,38.4978,41.63815,3.140350000000005,2.118041,13.66,4.06,7.11763247863248
0857.HK,PETROCHINA,2022,Energy,1566.15049216,3563.0837000000006,0.8910000000000001,2.70342,3.0483,0.3448799999999998,0.34649,25.57,18.41,3.4212121212121205
1810.HK,XIAOMI-W,2022,Technology,1321.767010304,308.0484176,0.11,18.6,10.94,-7.660000000000002,0.0,-41.18,3.53,99.45454545454545
1211.HK,BYD COMPANY,2022,Consumer Cyclical,1296.391077888,466.46669850000006,6.281000000000001,259.84857,188.78735,-71.06121999999999,0.12345,-27.3,9.51,30.056893806718673
3968.HK,CM BANK,2022,Financial Services,1231.904178176,376.4838,5.7860000000000005,51.97221,38.97375,-12.998459999999994,1.783454,-21.58,-14.4,6.735871068095403
2628.HK,CHINA LIFE,2022,Financial Services,988.99165184,904.5355,1.254,11.13554,12.1623,1.0267599999999997,0.76162,16.06,15.6,9.698803827751195
2318.HK,PING AN,2022,Financial Services,968.122957824,730.9555,6.996000000000001,46.16657,45.43422,-0.7323499999999967,2.86551,4.62,11.48,6.494313893653516
0883.HK,CNOOC,2022,Energy,849.032052736,475.44750000000005,3.333,5.7277,8.35621,2.628510000000001,1.88,78.71,31.24,2.507113711371137
1088.HK,CHINA SHENHUA,2022,Energy,821.380579328,378.9863000000001,3.8555,13.70297,18.79737,5.0944,3.125,59.98,21.41,4.875468810789781
3690.HK,MEITUAN-W,2022,Consumer Cyclical,802.805317632,241.95044280000002,-1.1990000000000005,223.39999,174.7,-48.699990000000014,0.0,-21.8,2.05,
0728.HK,CHINA TELECOM,2022,Communication Services,740.361895936,529.5928,0.33,2.03328,2.7127,0.6794199999999999,0.336734,49.98,18.32,8.220303030303029
1299.HK,AIA,2022,Financial Services,699.408580608,-194.6724,2.184,73.83927,82.71956,8.880290000000002,1.4828,14.03,-8.83,37.875256410256405
0386.HK,SINOPEC CORP,2022,Energy,697.875103744,3648.640600000001,0.6094,2.74808,3.23996,0.4918800000000001,0.5467,37.79,12.4,5.316639317361338
0300.HK,MIDEA GROUP,2022,Consumer Cyclical,629.60959488,380.27957660000004,4.774,,,,0.0,,11.27,
9999.HK,NTES-S,2022,Communication Services,601.538101248,106.14538990000001,6.853000000000001,157.20456,113.68387,-43.52068999999999,2.37867294,-26.17,14.32,16.58892018094265
3328.HK,BANKCOMM,2022,Financial Services,578.259255296,281.3415,1.254,3.64193,3.73669,0.0947599999999999,0.416053,14.03,12.09,2.97981658692185
1658.HK,PSBC,2022,Financial Services,557.993754624,258.14360000000005,0.935,4.55734,4.18453,-0.3728100000000003,0.290018,-1.82,3.87,4.475433155080213
2899.HK,ZIJIN MINING,2022,Basic Materials,494.22467072,297.3618983049,0.8360000000000001,8.68287,10.12839,1.44552,0.232599,19.33,15.45,12.1152990430622
0388.HK,HKEX,2022,Financial Services,478.742577152,16.934,7.96,412.21704,312.92496,-99.29208,7.63,-22.24,3.81,39.31218090452261
0981.HK,SMIC,2022,Technology,433.834295296,56.7316152,1.794,18.84,16.72,-2.120000000000001,0.0,-11.25,10.53,9.319955406911928
9633.HK,NONGFU SPRING,2022,Consumer Defensive,432.427925504,36.5631057,0.8360000000000001,50.10403,42.50611,-7.597920000000002,0.52969,-14.11,38.15,50.844629186602866
0998.HK,CITIC BANK,2022,Financial Services,428.174409728,231.88110000000003,1.287,2.50469,2.82035,0.3156599999999998,0.353739,26.73,3.03,2.1914141414141413
0945.HK,MANULIFE-S,2022,Financial Services,427.051122688,23.617,3.68,142.78557,135.94046,-6.845110000000005,7.38478,0.38,-1.0,36.94034239130435
6030.HK,CITIC SEC,2022,Financial Services,401.078157312,70.878637745212,1.562,17.68749,14.49374,-3.19375,0.63287,-14.48,13.24,9.278962868117798
9618.HK,JD-SW,2022,Consumer Cyclical,382.251630592,1150.8596,3.652,267.2912,218.3159,-48.9753,4.92282,-16.48,4.29,59.77981927710843
1339.HK,PICC GROUP,2022,Financial Services,362.51648,522.599,0.627,1.91051,2.2385,0.3279900000000002,0.171608,26.15,12.38,3.5701754385964914
2388.HK,BOC HONG KONG,2022,Financial Services,349.959651328,53.003,2.4535,21.58212,23.00923,1.427109999999999,1.13,11.85,5.35,9.378125127369064
2328.HK,PICC P&C,2022,Financial Services,334.086864896,449.01670000000007,1.4421000000000002,5.3371,6.48653,1.1494299999999995,0.475132,30.44,7.48,4.497975175091879
9961.HK,TRIP.COM-S,2022,Consumer Cyclical,330.723131392,22.0429,2.387,190.37762,273.42426,83.04664,0.0,43.62,3.12,114.5472392124005
2601.HK,CPIC,2022,Financial Services,315.434958848,299.1967,4.279000000000001,17.69674,15.56287,-2.133869999999998,1.175084,-5.42,16.22,3.6370343538209857
2611.HK,GTHT,2022,Financial Services,308.73370624,38.191649416800004,1.375,9.34639,7.65852,-1.687869999999999,0.798285,-9.52,7.17,5.569832727272727
0267.HK,CITIC,2022,Industrials,284.212232192,929.3933,2.4530000000000003,6.16955,7.08443,0.91488,0.656,25.46,1.63,2.8880676722380754
2888.HK,STANCHART,2022,Financial Services,280.274731008,126.1884,6.7002,45.80688,58.14018,12.3333,1.01588893,29.14,9.67,8.677379779708069
0762.HK,CHINA UNICOM,2022,Communication Services,272.016228352,390.43840000000006,0.6050000000000001,3.1808,4.26212,1.0813200000000005,0.30374,43.54,18.57,7.044826446280991
1919.HK,COSCO SHIP HOLD,2022,Industrials,261.8482688,430.16434670000007,7.524,8.20127,5.70621,-2.49506,3.2353000000000005,9.03,41.09,0.7584011164274321
9992.HK,POP MART,2022,Consumer Cyclical,259.920904192,5.0790564,0.385,46.06996,19.53803,-26.531930000000003,0.17941,-57.2,16.45,50.748129870129866
2020.HK,ANTA SPORTS,2022,Consumer Cyclical,255.939330048,59.01610000000001,3.102,106.33062,96.51289,-9.817729999999996,1.6,-7.73,25.96,31.11311734364926
6818.HK,CEB BANK,2022,Financial Services,246.581919744,166.8645,0.8140000000000001,2.0725,1.92595,-0.1465499999999997,0.233006,4.17,3.23,2.366031941031941
9888.HK,BIDU-SW,2022,Communication Services,243.3900544,136.04250000000002,2.75,143.60001,111.7,-31.900009999999995,0.0,-22.21,9.32,40.61818181818182
6690.HK,HAIER SMARTHOME,2022,Consumer Cyclical,238.947237888,267.93681745431707,1.7380000000000002,30.10639,25.01423,-5.09216,0.540702,-15.12,11.38,14.39253739930955
2378.HK,PRU,2022,Financial Services,238.905933824,-215.1864,-2.8704,129.89833,107.60872,-22.289609999999985,1.4965596,-16.01,11.27,
0016.HK,SHK PPT,2022,Real Estate,234.73799168,77.747,8.82,79.82001,95.2142,15.394190000000007,4.95,25.49,4.65,10.795260770975057
6936.HK,SF HOLDING,2022,Industrials,232.244543488,294.2394554,1.3970000000000002,,,,0.0,,14.59,
2015.HK,LI AUTO-W,2022,Consumer Cyclical,229.407719424,49.81549760000001,-1.144,127.0,76.8,-50.2,0.0,-39.53,-1.07,
1024.HK,KUAISHOU-W,2022,Communication Services,218.188709888,103.60130000000001,-3.5420000000000007,74.6,71.05,-3.549999999999997,0.0,-4.76,-6.66,
1766.HK,CRRC,2022,Industrials,212.26364928,245.23250070000003,0.451,2.90781,2.8677,-0.0401099999999998,0.210083,5.85,5.97,6.3585365853658535
0788.HK,CHINA TOWER,2022,Communication Services,209.0975232,101.38700000000001,0.5533,8.20422,8.4,0.1957800000000009,0.3097,6.16,23.06,15.181637448039039
6160.HK,BEIGENE,2022,Healthcare,205.533462528,11.0441838,-11.622,160.10001,134.2,-25.90001000000001,0.0,-16.18,-27.02,
