Ticker,Dividends_2021,Dividends_2022,Dividends_2023,Dividends_2024
0001.HK,2.5,2.7,2.8419999999999996,2.463
0002.HK,3.1,3.1,3.1,3.1
0003.HK,0.35,0.35,0.35,0.35
0004.HK,0.4,0.6000000000000001,0.4,0.4
0005.HK,1.710431,2.118041,4.1510940000000005,3.207043
0006.HK,2.8200000000000003,2.8200000000000003,3.6,2.8200000000000003
0007.HK,0.0,0.0,0.0,0.0
0008.HK,0.3236,0.3725,0.3825,0.3825
0009.HK,0.0,0.0,0.0,0.0
0010.HK,0.84,0.86,0.86,0.86
0011.HK,6.1,3.9,5.300000000000001,6.8
0012.HK,1.8,1.8,1.8,1.8
0013.HK,0.0,0.0,0.0,0.0
0014.HK,1.44,1.44,1.44,1.08
0016.HK,4.95,4.95,4.95,3.75
0017.HK,2.06,2.06,2.0500000000000003,0.2
0018.HK,0.08,0.06,0.0,0.04
0019.HK,2.0,2.75,11.169999999999998,3.25
0020.HK,0.0,0.0,0.0,0.0
0021.HK,0.0,0.0,0.0,0.0
0022.HK,0.0,0.0,0.0,0.0
0023.HK,0.59,0.99,0.53,0.49
0025.HK,0.54,0.44999999999999996,0.34,0.22000000000000003
0026.HK,0.4,2.1,0.5,0.5
0027.HK,0.0,0.3,0.2,0.8
0028.HK,0.2,0.2,0.25,0.2
0029.HK,0.02,0.01,0.01,0.01
0030.HK,0.0,0.0,0.0,0.0
0031.HK,0.02,0.025,0.02,0.0
0032.HK,0.48,0.42,0.42,0.42
0033.HK,0.0,0.0,0.0,0.0
0034.HK,0.7296480000000001,0.747664,0.747664,0.1
0035.HK,0.17272800000000002,0.24,0.14,0.11
0036.HK,0.0,0.0,0.0,0.0
0037.HK,0.0,0.0,0.0,0.0
0038.HK,0.08932,0.143815,0.258,0.35199
0039.HK,0.0,0.0,0.0,0.0
0040.HK,0.0,0.0,0.0,0.025
0041.HK,0.8300000000000001,0.8300000000000001,0.87,0.87
0042.HK,0.0,0.0,0.0,0.0
0045.HK,0.0,0.0,0.0,0.08
0046.HK,0.18,0.175,0.13,0.11
0048.HK,0.0,0.0,0.0,0.0
0050.HK,0.25,0.25,1.1,0.25
0051.HK,0.07,0.0,0.0,0.0
0052.HK,0.85,0.5800000000000001,0.16,0.35
0053.HK,2.0,2.0,3.0,3.2
0055.HK,0.0,0.0,0.0,0.0
0057.HK,0.167,0.161,0.103,0.088
0058.HK,0.0,0.0,0.0,0.0
0059.HK,0.03,0.0,0.0,0.0
0060.HK,0.0,0.0,0.0,0.0
0061.HK,0.0,0.0,0.0,0.0
0062.HK,0.5,0.5,0.8,0.5
0063.HK,0.0,0.0,0.0,0.0
0064.HK,0.01,0.01,0.01,0.005
0065.HK,0.0,0.0,0.0,0.0
0066.HK,1.23,1.44,1.31,1.31
0069.HK,0.0,0.0,0.0,0.2
0070.HK,0.0,0.0,0.0,0.0
0071.HK,0.48000000000000004,0.47,0.52,0.53
0072.HK,0.0,0.0,0.0,0.0
0073.HK,0.0,0.0,0.0,0.0
0075.HK,0.0,0.0,0.0,0.0
0076.HK,0.0,0.0,0.0,0.0
0077.HK,0.07,0.03,0.09,0.04
0078.HK,0.0,0.0,0.0,0.0
0079.HK,0.0,0.0,0.0,0.0
0081.HK,0.35500000000000004,0.36,0.2,0.14
0082.HK,0.0,0.0,0.0,0.0
0083.HK,0.42000000000000004,0.57,0.58,0.58
0084.HK,0.0,0.0,0.0,0.0
0085.HK,0.0,0.019,0.08,0.105
0086.HK,0.26,0.26,0.26,0.26
0087.HK,0.4,0.55,2.234,0.65
0088.HK,0.24,0.24,0.24,0.24
0089.HK,0.22,0.26,0.12,0.1
0090.HK,0.1,0.056,0.0,0.0
0092.HK,0.0,0.0,0.0,0.0
0093.HK,0.0,0.0,0.0,0.0
0094.HK,0.0,0.0,0.0,0.0
0095.HK,0.0,0.0,0.0,0.0
0096.HK,0.0298933,0.0152,0.01427,0.01426
0097.HK,0.02,0.02,0.01,0.0
0098.HK,0.36,1.66728,0.37,0.64
0099.HK,0.035,0.045,0.075,0.057499999999999996
0101.HK,0.77,0.78,0.78,0.72
0102.HK,0.0,0.0,0.0,0.0
0103.HK,0.015,0.015,0.0073,0.01
0104.HK,0.0536,0.0536,0.0469,0.0348
0105.HK,0.38,0.32,0.39,0.41000000000000003
0106.HK,0.03,0.0,0.0,0.0
0107.HK,0.096537,0.128899,0.111195,0.263499
0108.HK,0.0,0.0,0.0,0.0
0110.HK,0.0,0.0,0.0,0.0
0111.HK,0.03,0.02,0.0,0.0
0113.HK,0.27,0.35000000000000003,0.35000000000000003,0.44999999999999996
0114.HK,0.09,0.06,0.06,0.06
0115.HK,0.0,0.0,0.0,0.0
0116.HK,0.30000000000000004,0.43000000000000005,0.35,0.55
0117.HK,0.0,0.0,0.0,0.0
0118.HK,0.0,0.0,0.0,0.0
0119.HK,0.128,0.135,0.048,0.083
0120.HK,0.0,0.0,0.0,0.0
0122.HK,0.0,0.0,0.0,0.0
0123.HK,0.610684,0.6164000000000001,0.539,0.33699999999999997
0124.HK,0.0153,0.13,0.11,0.0
0125.HK,0.03,0.03,0.03,0.015
0126.HK,0.03,0.01,0.0,0.0
0127.HK,0.01,0.0,0.0,0.0
0128.HK,0.0,0.0,0.0,0.0
0129.HK,0.03,0.0,0.0,0.0
0130.HK,0.0,0.0,0.0,0.0
0131.HK,0.05,0.035,0.0475,0.0625
0132.HK,0.0,0.0,0.0,0.0042
