Ticker,Close_Difference_2021,Close_Difference_2022,Close_Difference_2023,Close_Difference_2024,First_Close_2021,First_Close_2022,First_Close_2023,First_Close_2024,Last_Close_2021,Last_Close_2022,Last_Close_2023,Last_Close_2024
0001.HK,-2.6020599999999945,-1.7079500000000039,-2.5542099999999976,2.715529999999994,45.0211,43.26236,41.95354,38.83447,42.41904,41.55441,39.39933,41.55
0002.HK,7.311999999999998,-17.17864,9.78611,4.380870000000002,59.52163,67.68232,50.50368,59.7753,66.83363,50.50368,60.28979,64.15617
0003.HK,1.11951,-3.9050200000000004,-1.0970700000000004,0.5898500000000002,9.31114,10.55094,6.74444,5.60015,10.43065,6.64592,5.64737,6.19
0004.HK,3.85107,-0.08064000000000249,2.4647700000000015,-2.104379999999999,18.39697,21.87647,21.98577,23.52696,22.24804,21.79583,24.45054,21.42258
0005.HK,6.518589999999996,3.140350000000005,16.1533,15.540150000000004,32.02029,38.4978,41.76679,57.87413,38.53888,41.63815,57.92009,73.41428
0006.HK,6.804940000000002,-3.3544800000000023,5.377929999999999,11.639400000000002,33.0423,40.38018,37.28553,42.7106,39.84724,37.0257,42.66346,54.35
0007.HK,0.03799999999999998,-0.04000000000000001,-0.106,-0.035,0.198,0.22,0.18,0.067,0.236,0.18,0.074,0.032
0008.HK,-0.24421999999999988,-0.09958999999999962,0.8140100000000001,0.6967699999999994,3.2274,2.99828,2.9728,3.82323,2.98318,2.89869,3.78681,4.52
0009.HK,-0.018999999999999996,-0.016,-0.015,0.002,0.06,0.041,0.026,0.011,0.041,0.025,0.011,0.013
0010.HK,-1.1410099999999996,-0.89968,-2.5220199999999995,0.7403700000000004,13.75654,12.38836,11.63289,9.09374,12.61553,11.48868,9.11087,9.83411
0011.HK,9.18589,-8.80789,-29.344250000000002,12.780599999999993,108.84449,119.3538,110.63108,79.01026,118.03038,110.54591,81.28683,91.79086
0012.HK,3.0748299999999986,-3.488340000000001,-1.4042299999999983,1.7974599999999974,23.79299,26.90828,23.72074,21.85254,26.86782,23.41994,22.31651,23.65
0013.HK,-3.8499999999999943,-33.6,3.8000000000000007,-5.650000000000002,60.3,57.6,24.9,28.05,56.45,24.0,28.7,22.4
0014.HK,-2.4528999999999996,2.075969999999998,-7.6484999999999985,-2.040050000000001,20.67178,18.33228,20.97291,13.23844,18.21888,20.40825,13.32441,11.19839
0016.HK,-3.347370000000012,15.394190000000009,-17.725340000000003,-4.6592700000000065,83.20959,79.82001,97.35384,78.73274,79.86222,95.2142,79.6285,74.07347
0017.HK,-3.0106600000000014,-4.774220000000003,-7.73855,-6.324940000000001,27.04531,23.72302,19.59478,11.46494,24.03465,18.9488,11.85623,5.14
0018.HK,0.22664000000000006,-0.07271999999999995,-0.11697999999999997,-0.04692999999999997,0.32453,0.56763,0.51291,0.38693,0.55117,0.49491,0.39593,0.34
0019.HK,1.086750000000002,19.962699999999998,9.86206,8.35698,30.94674,32.43075,50.86817,60.04116,32.03349,52.39345,60.73023,68.39814
0020.HK,1.37,-5.529999999999999,-1.03,0.3400000000000001,4.13,7.75,2.19,1.16,5.5,2.22,1.16,1.5
0021.HK,0.053000000000000005,-0.0020000000000000018,-0.04400000000000001,0.048000000000000015,0.085,0.136,0.134,0.09,0.138,0.134,0.09,0.138
0022.HK,-0.0024999999999999953,-0.014150000000000003,-0.014559999999999997,0.005409999999999998,0.05202,0.04952,0.03745,0.02289,0.04952,0.03537,0.02289,0.0283
0023.HK,-3.8127700000000004,-0.6885300000000001,0.5461600000000004,0.836920000000001,12.71156,8.97824,8.32476,8.74209,8.89879,8.28971,8.87092,9.57901
0025.HK,0.38926000000000016,-1.63159,-1.5194200000000002,-0.7722100000000003,7.56194,7.9512,6.39163,4.87221,7.9512,6.31961,4.87221,4.1
0026.HK,-0.9902699999999953,-20.27552,-11.437309999999997,-7.544200000000004,93.08671,91.13709,69.97827,58.2443,92.09644,70.86157,58.54096,50.7001
0027.HK,-19.71627,11.100480000000005,-9.415820000000004,-10.40804,58.76221,39.09426,52.14027,43.40804,39.04594,50.19474,42.72445,33.0
0028.HK,-0.10670000000000002,-0.10151999999999983,-0.18586999999999998,1.0479099999999995,3.6893,3.56601,3.447,3.25186,3.5826,3.46449,3.26113,4.29977
0029.HK,-4.079280000000001,-1.0560100000000006,-0.3693799999999996,0.8911999999999995,14.24008,9.98149,9.47397,9.10459,10.1608,8.92548,9.10459,9.99579
0030.HK,-0.08499999999999996,-0.031000000000000028,0.0,-0.07400000000000001,0.36,0.28,0.249,0.249,0.275,0.249,0.249,0.175
0031.HK,0.039620000000000044,-0.06836000000000003,-0.07369999999999999,0.044999999999999984,0.44486,0.46654,0.3887,0.315,0.48448,0.39818,0.315,0.36
0032.HK,-2.1150199999999995,0.2654199999999989,-2.5523500000000006,-0.54704,11.641,9.52598,9.80939,7.25704,9.52598,9.7914,7.25704,6.71
0033.HK,0.5200000000000001,0.33999999999999986,5.180000000000001,-4.8100000000000005,0.84,1.34,1.8,7.44,1.36,1.68,6.98,2.63
