Ticker,Name,Market Cap
0005.HK,HSBC HOLDINGS,"1,605.10"
0992.HK,LENOVO GROUP,121.19
2015.HK,LI AUTO-W,229.41
0857.HK,PETROCHINA,"1,566.15"
1919.HK,COSCO SHIP HOLD,261.85
0883.HK,CNOOC,849.03
1088.HK,CHINA SHENHUA,821.38
0941.HK,CHINA MOBILE,"1,880.59"
2328.HK,PICC P&C,334.09
1810.HK,XIAOMI-W,"1,321.77"
9868.HK,XPENG-W,151.53
6881.HK,CGS,156.86
1288.HK,ABC,"2,119.62"
0728.HK,CHINA TELECOM,740.36
0945.HK,MANULIFE-S,427.05
2338.HK,WEICHAI POWER,138.21
0998.HK,CITIC BANK,428.17
0386.HK,SINOPEC CORP,697.88
1898.HK,CHINA COAL,140.76
3328.HK,BANKCOMM,578.26
6886.HK,HTSC,157.11
0002.HK,CLP HOLDINGS,166.87
3988.HK,BANK OF CHINA,"1,681.79"
3606.HK,FUYAO GLASS,155.93
1038.HK,CKI HOLDINGS,130.52
1766.HK,CRRC,212.26
9999.HK,NTES-S,601.54
3993.HK,CMOC,164.37
2899.HK,ZIJIN MINING,494.22
1816.HK,CGN POWER,181.22
0981.HK,SMIC,433.83
2423.HK,BEKE-W,177.03
6818.HK,CEB BANK,246.58
1988.HK,MINSHENG BANK,191.4
2611.HK,GTHT,308.73
2888.HK,STANCHART,280.27
0939.HK,CCB,"1,759.44"
1398.HK,ICBC,"2,588.82"
0267.HK,CITIC,284.21
0669.HK,TECHTRONIC IND,168.32
6030.HK,CITIC SEC,401.08
0762.HK,CHINA UNICOM,272.02
1211.HK,BYD COMPANY,"1,296.39"
9633.HK,NONGFU SPRING,432.43
3692.HK,HANSOH PHARMA,139.43
2333.HK,GWMOTOR,188.41
1339.HK,PICC GROUP,362.52
1698.HK,TME-SW,198.01
1800.HK,CHINA COMM CONS,138.83
9961.HK,TRIP.COM-S,330.72
1913.HK,PRADA,137.79
0763.HK,ZTE,157.16
6806.HK,SWHY,122.46
2601.HK,CPIC,315.43
9888.HK,BIDU-SW,243.39
0001.HK,CKH HOLDINGS,173.31
0883.HK,CNOOC 2022,849.03
1698.HK,TME-SW 2022,198.01
1088.HK,CHINA SHENHUA 2021 2022,821.38
2097.HK,MIXUE GROUP,180.32
0300.HK,MIDEA GROUP,629.61
6936.HK,SF HOLDING,232.24
1787.HK,SD GOLD,135.75
2359.HK,WUXI APPTEC,189.15
0788.HK,CHINA TOWER,209.1
9992.HK,POP MART,259.92
6099.HK,CMSC,149.57
0390.HK,CHINA RAILWAY,139.09
1378.HK,CHINAHONGQIAO,137.1
0700.HK,TENCENT,"4,625.99"
2388.HK,BOC HONG KONG,349.96
1776.HK,GF SEC,126.3
0003.HK,HK & CHINA GAS,130.43
1336.HK,NCI,147.28
6690.HK,HAIER SMARTHOME,238.95
0016.HK,SHK PPT,234.74
9988.HK,BABA-W,"2,354.62"
1658.HK,PSBC,557.99
1109.HK,CHINA RES LAND,180.41
1928.HK,SANDS CHINA LTD,126.09
0388.HK,HKEX,478.74
2378.HK,PRU,238.91
0027.HK,GALAXY ENT,140.43
2628.HK,CHINA LIFE,988.99
6160.HK,BEIGENE,205.53
1299.HK,AIA,699.41
3908.HK,CICC,133.36
0066.HK,MTR CORPORATION,172.47
0011.HK,HANG SENG BANK,201.97
9987.HK,YUM CHINA,131.76
0914.HK,CONCH CEMENT,128.53
2318.HK,PING AN,968.12
0175.HK,GEELY AUTO,198.94
2020.HK,ANTA SPORTS,255.94
0688.HK,CHINA OVERSEAS,147.1
1024.HK,KUAISHOU-W,218.19
3968.HK,CM BANK,"1,231.90"
0753.HK,AIR CHINA,128.69
0486.HK,RUSAL,128.14
6618.HK,JD HEALTH,129.43
9618.HK,JD-SW,382.25
3690.HK,MEITUAN-W,802.81
1880.HK,CTG DUTY-FREE,138.95
